job_id,job_url,resume_tried,date_listed,date_tried,assumed_reason,stack_trace,external_job_url,screenshot_name,portal_type,source_platform,confidence_score
4416389362,https://www.linkedin.com/jobs/view/4416389362,Pending,2026-05-21 13:00:20,2026-05-23 13:00:47,Problem in Easy Applying,cannot access local variable 'modal' where it is not associated with a value,Easy Applied,Not Available,LinkedIn,LinkedIn,70
4417470339,https://www.linkedin.com/jobs/view/4417470339,Pending,2026-05-21 13:01:04,2026-05-23 13:01:04,Found a Bad Word in About Job,"
About the job
About bluCognition:
bluCognition is an AI/ML based start-up specializing in risk analytics, data conversion and data enrichment capabilities. Founded in 2017, by some very named senior professionals from the financial services industry, the company is headquartered in the US, with the delivery centre based in Pune. We build all our solutions while leveraging the latest technology stack in AI, ML and NLP combined with decades of experience in risk management at some of the largest financial services firms in the world. Our clients are some of the biggest and the most progressive names in the financial services industry. We are entering a significant growth phase and are looking for individuals with entrepreneurial mindset who wants us to join us in this exciting journey

Key Responsibilities
Design, develop, and maintain robust, scalable web applications using Python and Django.
Build, test, and maintain RESTful APIs and work closely with front-end developers to integrate user-facing elements with server-side logic.
Implement, test, and maintain efficient, reusable, and modular code.
Optimize applications for maximum speed, scalability, and performance.
Ensure security, data protection, and implement best practices in web application development.
Participate in all stages of the software development lifecycle, including design, code reviews, and debugging.
Collaborate with data science teams to maintain and update document extraction products.
Troubleshoot application issues and bugs effectively.

Required Skills & Experience
A background in Computer Science or related field.
Knowledge of database query language (e.g. SQL) and developer tools such as Python, R , databricks.
Knowledge of JavaScript, React, Angular, Good in Data Structure & Logics.
An analytical mindset and strongproblem-solving skills, attentionto detail and ability to multitask.
The abilityto work in a fast-paced environment and to deal with ambiguity.
Strong communication, interpersonal and presentation skills; ability to engage and collaborate with multiple stakeholders across teams.

[FILTER-REJECT] Contains bad word ""Senior"". Skipping this job!
",Skipped,Not Available,LinkedIn,LinkedIn,0
4415791231,https://www.linkedin.com/jobs/view/4415791231,Pending,2026-05-22 13:01:10,2026-05-23 13:01:11,Found a Bad Word in About Job,"
About the job
Company
VYSEDECK builds AI-driven enterprise automation products across Voice, WhatsApp, and Email.
We focus on building systems that are not just AI-enabled, but AI-operable — products designed so AI can monitor, adapt, and automate workflows reliably in production environments.
Our focus is on real business outcomes, operational reliability, and long-term product thinking.
Role: AI Developer (Fresher / Intern Friendly)
This is a hybrid role (Noida/NCR preferred).
We are open to freshers, interns, and candidates with up to ~2 years of experience who are genuinely interested in learning and building real AI products.
You will work on automation systems involving AI models, voice agents, chat workflows, orchestration logic, and enterprise integrations.
Who Should Apply
You are a good fit if you:
Are curious, hardworking, and self-driven
Enjoy solving real problems through technology
Can learn quickly and adapt independently
Have basic logical and mathematical thinking ability
Want to build production-grade systems, not just demo projects
Prefer ownership and learning over rigid corporate structures
What You’ll Work On
AI-powered automation systems
Voice and conversational AI workflows
WhatsApp and enterprise communication automation
AI orchestration and workflow logic
End-to-end product development and deployment
Work Mode
Hybrid role
NCR candidates preferred
If you want to build real AI systems, learn fast, and grow through hands-on work, you are welcome here.

[FILTER-REJECT] Contains bad word ""Enterprise"". Skipping this job!
",Skipped,Not Available,LinkedIn,LinkedIn,0
4414081022,https://www.linkedin.com/jobs/view/4414081022,Pending,2026-05-22 13:01:15,2026-05-23 13:01:16,Found a Bad Word in About Job,"
About the job
About Salvo Software

Salvo Software is a global firm that provides cost-effective software solutions to guide enterprises and startups through digital transformation. With distributed teams across the US, LATAM, and India, we partner with clients to build high-performance, scalable systems that solve complex technical challenges. Our culture values innovation, ownership, and engineering excellence.

Role Overview

We are seeking a highly skilled AI Developer with a strong backend and machine learning engineering background to design, train, optimize, and deploy LLM models in on-prem and offline environments. This role is deeply technical and hands-on, requiring expertise across Python ML stacks, model optimization, local inference frameworks, RAG (Retrieval-Augmented Generation) architectures, MCP (Model Context Protocol) integrations, and DevOps workflows tailored for offline systems.

You will work closely with our engineering and product teams to build end-to-end LLM pipelines — including data preprocessing, supervised fine-tuning, model quantization, evaluation, RAG pipeline design, and deployment using local or air-gapped infrastructure. If you enjoy working with cutting-edge open-source LLMs, building context-aware AI systems, and designing reliable backend pipelines, this role is for you.

Key Responsibilities

Core LLM Development

Train and fine-tune LLMs using supervised fine-tuning (SFT)
Work with open-source models such as LLaMA, Mistral, Qwen, and similar architectures
Build LoRA / Q-LoRA pipelines for efficient fine-tuning
Implement and optimize data preprocessing workflows, including tokenization and long-context handling
Use and extend Hugging Face Transformers & Datasets for training and inference
Parse and process structured and semi-structured data, including XML/XSD files
Implement document parsing solutions for Office formats (python-docx, OpenXML)

RAG & Context-Aware Systems

Design and implement end-to-end Retrieval-Augmented Generation (RAG) pipelines for document-grounded question answering and knowledge retrieval
Build and maintain vector stores and embedding pipelines using tools such as FAISS, Chroma, Weaviate, or pgvector
Optimize retrieval strategies including hybrid search, re-ranking, and chunking approaches tailored for domain-specific corpora
Develop and maintain MCP (Model Context Protocol) server integrations to enable LLMs to interact dynamically with tools, APIs, and external data sources
Design agentic workflows that leverage MCP to give models structured access to internal systems and context in a controlled, auditable manner

Offline / On-Prem Model Expertise

Deploy, run, and maintain models fully offline and in air-gapped environments
Perform model optimization and quantization (GGUF, GPTQ, AWQ, bitsandbytes)
Build and maintain inference systems using frameworks like vLLM, TGI, and Ollama
Optimize GPU usage (CUDA, cuDNN, VRAM-aware batching)
Maintain local CI/CD pipelines for ML models without cloud dependencies
Manage local model registries, versioning, and artifacts
Ensure RAG and MCP components are fully operational in offline and restricted network environments

Backend & DevOps

Build backend services in Python for ML training and inference workflows
Work with relational databases (Postgres/MySQL) and vector databases for RAG storage layers
Use Docker and Git for reliable development and deployment pipelines
Use Azure DevOps for CI/CD, including local runners when applicable

Requirements

Technical Skills

Strong experience in Python for backend and ML development
Expertise with ML frameworks such as PyTorch or TensorFlow, scikit-learn, and pandas
Solid knowledge of Postgres or MySQL for data storage
Experience with Docker, Git, and DevOps best practices
Hands-on expertise with LLM training, fine-tuning, and optimization
Experience with Hugging Face Transformers & Datasets
Familiarity with XML/XSD and Office document parsing tools
Experience deploying models with vLLM, TGI, or Ollama
Understanding of quantization techniques (GGUF/GPTQ/AWQ)
Experience working with GPU optimization and the CUDA stack
Ability to build solutions for offline, on-prem, and air-gapped environments
Hands-on experience designing and implementing RAG pipelines, including embedding models, vector stores (FAISS, Chroma, Weaviate, or pgvector), and retrieval optimization strategies
Experience building or integrating MCP (Model Context Protocol) servers to connect LLMs with external tools, APIs, and structured data sources

Nice to Have

Experience building agentic systems using MCP in production or near-production environments
Familiarity with advanced RAG techniques such as HyDE, re-ranking, or multi-hop retrieval
Experience managing ML model registries in offline environments
Familiarity with AWS for hybrid deployments
Experience with secure environments, restricted networks, or enterprise compliance requirements

Soft Skills

Strong ownership mindset and problem-solving ability
Ability to work effectively in distributed teams across time zones
Clear communication when discussing complex technical topics with both technical and non-technical stakeholders

[FILTER-REJECT] Contains bad word ""Enterprise"". Skipping this job!
",Skipped,Not Available,LinkedIn,LinkedIn,0
4415781574,https://www.linkedin.com/jobs/view/4415781574,Pending,2026-05-20 13:28:51,2026-05-23 13:28:51,Required experience is high,"
About the job
We're Hiring: AI/ML Associate (1 - 3 Years Experience)


Company: Nekkotech Solutions Private Limited
Position: ML Associate
Experience: 1–3 Years
Location: Hyderabad (On-site)

Nekko is a Bengaluru-based innovator redefining enterprise efficiency through Agentic AI and Autonomous Process Automation. We don’t just build tools; we create intelligent ""digital coworkers"" that handle complex, repetitive tasks, liberating human talent for high-value creative work. Through our TensAI Platform, Nekko Iris we deliver production-ready AI solutions for global leaders in BFSI, Logistics, Retail and Manufacturing.
At Nekko, we are currently looking for a talented and motivated AI/ML Associate to join our team and support the development and deployment of machine learning solutions using AWS technologies.

Key Responsibilities: 

Develop and implement machine learning models for Computer Vision, OCR, classification, prediction, and optimization tasks. 
Conduct data preparation, feature engineering, and model validation.
Deploy, monitor, maintain models and AWS services such as Bedrock, Lambda, EC2, and S3.
Collaborate with cross-functional teams to translate business objectives into ML-driven solutions Document workflows, best practices, and maintain code repositories


Qualifications:

Bachelor’s or Master’s degree in Computer Science, Data Science, or a related field
Hands-on experience in AI/ML development is a plus
Proficiency in Python and ML frameworks such as TensorFlow, PyTorch, or scikit-learn, YOLO, OpenCV
Experience working with AWS cloud services for machine learning and data workflows
Ability to learn quickly; Excellent communication and interpersonal skills
Experience applying generative AI and agent-based systems.
ML Basics: Regression, classification, clustering, time-series
GenAI / LLMs: Prompt engineering, LangChain
Databases: SQL, exposure to NoSQL and vector databases (Pinecone, FAISS)
Knowledge of computer vision models , cloud AI services (AWS)
Experience with data engineering and pipeline development
Experience with AWS, Azure, or Google Cloud
Experience with Databricks platform for data analytics and MLOps


Preferred Skills:

Strong proficiency on Python is a MUST
Good knowledge on use of open source models
Exposure to different kinds of open source technologies
Knowledge and hands-on experience with AWS services
Knowledge of API integration (FAST, Flask).
Familiarity with data visualization tools such as Plotly, chart.js


At Nekkotech, you’ll be part of a collaborative team focused on innovation, quality, and excellence in delivery. If you are looking to advance your career in AI/ML while working on impactful projects, we encourage you to apply.

Please send your updated resume with a short description of the most interesting project (AI/ Non-AI) you have worked on
Feel free to tag someone who’d be a great fit!
📩hr@nekko.tech

[FILTER-REJECT] Experience required 3 > Current Experience 1. Skipping this job!
",Skipped,Not Available,LinkedIn,LinkedIn,0
4415478974,https://www.linkedin.com/jobs/view/4415478974,Pending,2026-05-18 15:57:35,2026-05-23 15:57:35,Found a Bad Word in About Job,"
About the job
JOB DESCRIPTION

Job title :  AI Engineer
Reports to : VP Operations

Job purpose 
Design, develop, and manage scalable MLOps pipelines for building, training, and deploying predictive and generative LLM models on cloud infrastructure. The role supports automation, monitoring, and optimization of AI workflows across research, clinical, and commercial initiatives to enable data-driven decision-making and operational efficiency.
  Duties and responsibilities  
The successful candidate will work closely with R&D and Corporate stakeholders under Ocugen’s R&D and Business organization.
Design, develop, and maintain end-to-end MLOps pipelines on Azure for training, evaluating, and deploying AI and LLM-based models across multiple environments.
Integrate and manage Azure OpenAI Service, Azure AI Search, Azure Document Intelligence, and Azure Blob Storage for model orchestration, data ingestion, and large-scale retrieval workflows.
Build and manage CI/CD pipelines using Azure DevOps or GitHub Actions to automate code builds, testing, model deployment, and versioning.
Implement infrastructure-as-code for reproducible environment setup using tools like Bicep or Terraform, ensuring consistency across R&D and production environments.
Configure Azure Container Apps, Container Registry, and Kubernetes clusters to support scalable and fault-tolerant model deployment.
Develop data pipelines for ingesting, cleaning, and indexing structured and unstructured data into Azure Blob and Azure AI Search for downstream AI workloads.
Monitor and optimize model inference performance, latency, and cost, leveraging Azure Monitoring, Application Insights, and autoscaling strategies.
Track and manage token utilization and billing for Azure OpenAI and other AI services to ensure efficient resource consumption.
Implement secure storage and access control using Azure Key Vault, role-based access, and compliance policies.
Collaborate with AI, backend, and DevOps teams to deploy and maintain LLM and data analytics models integrated with enterprise APIs and dashboards.
Maintain documentation of pipelines, deployment workflows, and cost reports, supporting transparency and operational readiness.

Qualifications 
B.Tech/ M.Tech in Computer Science and Engineering 
1- 2 years of industry experience
Ability to deliver on tight deadlines
Demonstrated attention to detail and outstanding organization skills.
Self-motivated with a commitment to high quality, on-time deliverables.
Excellent communication and collaboration skills with a team-oriented approach.
Demonstrated ability to identify and resolve issues and effectively manage timelines.

Working Conditions : 
This position operates in an office setting, in person. .
Job may additionally require incumbent to be availableoutside of these hours to handle prioritybusiness needs.

 Physical Requirment : 
This is a largely sedentary role.

Directs Reports : 
N/A

[FILTER-REJECT] Contains bad word ""VP"". Skipping this job!
",Skipped,Not Available,LinkedIn,LinkedIn,0
4412646433,https://www.linkedin.com/jobs/view/4412646433,Pending,2026-05-16 15:57:46,2026-05-23 15:57:46,Required experience is high,"
About the job
Role Overview
We are looking for an AI Workflow Engineer with 2–3 years of hands-on experience using Claude, Vibe Coding, and modern AI-driven development workflows. This role is ideal for someone who thinks in terms of agents, sub‑agents, MCPs, automation pipelines, and rapid prototyping, and who can translate ambiguous engineering or operational problems into structured, AI‑accelerated solutions.
The ideal candidate is not just “AI‑literate” — they are AI‑fluent, capable of using Claude as a cognitive partner to design, build, debug, and optimize engineering workflows, documentation, and automation.

Key Responsibilities
AI‑Accelerated Engineering
Use Claude, Vibe Coding, and agentic workflows to design, develop, and optimize engineering solutions.
Build and maintain AI-assisted scripts, tools, and automations that improve team productivity.
Convert engineering requirements into structured prompts, workflows, and reusable AI patterns.
Vibe Coding & Agentic Development
Develop modular code using Vibe Coding principles: iterative refinement, conversational debugging, and multi-agent orchestration.
Create and manage sub‑agents, MCP integrations, and task-specific AI pipelines.
Documentation & Knowledge Systems
Generate high-quality engineering documentation, SOPs, checklists, and design reviews using AI workflows.
Maintain internal knowledge bases and ensure they are AI-ready and searchable.
Quality, Compliance & Review
Use AI tools to perform first-pass quality checks, model reviews, and compliance validations.
Ensure outputs meet engineering standards, customer expectations, and internal review rituals.
Cross-functional Collaboration
Work with engineering, operations, and leadership teams to identify automation opportunities.
Train peers on AI-native workflows and help uplift the team’s AI maturity.

Required Skills & Experience
2–3 years of hands-on experience with Claude (Opus/Sonnet/Hai) and Vibe Coding workflows.
Strong understanding of:
Prompt engineering and structured prompting
Multi-agent orchestration
MCP (Model Context Protocol) integrations
AI-assisted debugging and code generation
AI-driven documentation and review processes
Proficiency in at least one programming language (Python preferred).
Ability to convert ambiguous requirements into structured AI workflows.
Experience building internal tools, scripts, or automations using AI.
Strong communication skills and the ability to write clear, concise, AI-ready documentation.

Preferred Qualifications
Familiarity with GitHub, and modern development practices.
Experience training teams or mentoring peers on AI-native development.
Exposure to CAD/CAE workflows and AI-assisted model review.

Who Will Thrive in This Role
Someone who treats AI as a collaborator, not a tool.
Someone who can think in systems, not tasks.
Someone who is comfortable with ambiguity and can rapidly prototype solutions.
Someone who is excited to build the next generation of engineering workflows.

[FILTER-REJECT] Experience required 3 > Current Experience 1. Skipping this job!
",Skipped,Not Available,LinkedIn,LinkedIn,0
4415791231,https://www.linkedin.com/jobs/view/4415791231,Pending,2026-05-22 17:36:12,2026-05-23 17:36:12,Required experience is high,"
About the job
Company
VYSEDECK builds AI-driven enterprise automation products across Voice, WhatsApp, and Email.
We focus on building systems that are not just AI-enabled, but AI-operable — products designed so AI can monitor, adapt, and automate workflows reliably in production environments.
Our focus is on real business outcomes, operational reliability, and long-term product thinking.
Role: AI Developer (Fresher / Intern Friendly)
This is a hybrid role (Noida/NCR preferred).
We are open to freshers, interns, and candidates with up to ~2 years of experience who are genuinely interested in learning and building real AI products.
You will work on automation systems involving AI models, voice agents, chat workflows, orchestration logic, and enterprise integrations.
Who Should Apply
You are a good fit if you:
Are curious, hardworking, and self-driven
Enjoy solving real problems through technology
Can learn quickly and adapt independently
Have basic logical and mathematical thinking ability
Want to build production-grade systems, not just demo projects
Prefer ownership and learning over rigid corporate structures
What You’ll Work On
AI-powered automation systems
Voice and conversational AI workflows
WhatsApp and enterprise communication automation
AI orchestration and workflow logic
End-to-end product development and deployment
Work Mode
Hybrid role
NCR candidates preferred
If you want to build real AI systems, learn fast, and grow through hands-on work, you are welcome here.

[FILTER-REJECT] Experience required 2 > Current Experience 1. Skipping this job!
",Skipped,Not Available,LinkedIn,LinkedIn,0
4415478974,https://www.linkedin.com/jobs/view/4415478974,Pending,2026-05-18 17:36:39,2026-05-23 17:36:39,Found a Bad Word in About Job,"
About the job
JOB DESCRIPTION

Job title :  AI Engineer
Reports to : VP Operations

Job purpose 
Design, develop, and manage scalable MLOps pipelines for building, training, and deploying predictive and generative LLM models on cloud infrastructure. The role supports automation, monitoring, and optimization of AI workflows across research, clinical, and commercial initiatives to enable data-driven decision-making and operational efficiency.
  Duties and responsibilities  
The successful candidate will work closely with R&D and Corporate stakeholders under Ocugen’s R&D and Business organization.
Design, develop, and maintain end-to-end MLOps pipelines on Azure for training, evaluating, and deploying AI and LLM-based models across multiple environments.
Integrate and manage Azure OpenAI Service, Azure AI Search, Azure Document Intelligence, and Azure Blob Storage for model orchestration, data ingestion, and large-scale retrieval workflows.
Build and manage CI/CD pipelines using Azure DevOps or GitHub Actions to automate code builds, testing, model deployment, and versioning.
Implement infrastructure-as-code for reproducible environment setup using tools like Bicep or Terraform, ensuring consistency across R&D and production environments.
Configure Azure Container Apps, Container Registry, and Kubernetes clusters to support scalable and fault-tolerant model deployment.
Develop data pipelines for ingesting, cleaning, and indexing structured and unstructured data into Azure Blob and Azure AI Search for downstream AI workloads.
Monitor and optimize model inference performance, latency, and cost, leveraging Azure Monitoring, Application Insights, and autoscaling strategies.
Track and manage token utilization and billing for Azure OpenAI and other AI services to ensure efficient resource consumption.
Implement secure storage and access control using Azure Key Vault, role-based access, and compliance policies.
Collaborate with AI, backend, and DevOps teams to deploy and maintain LLM and data analytics models integrated with enterprise APIs and dashboards.
Maintain documentation of pipelines, deployment workflows, and cost reports, supporting transparency and operational readiness.

Qualifications 
B.Tech/ M.Tech in Computer Science and Engineering 
1- 2 years of industry experience
Ability to deliver on tight deadlines
Demonstrated attention to detail and outstanding organization skills.
Self-motivated with a commitment to high quality, on-time deliverables.
Excellent communication and collaboration skills with a team-oriented approach.
Demonstrated ability to identify and resolve issues and effectively manage timelines.

Working Conditions : 
This position operates in an office setting, in person. .
Job may additionally require incumbent to be availableoutside of these hours to handle prioritybusiness needs.

 Physical Requirment : 
This is a largely sedentary role.

Directs Reports : 
N/A

[FILTER-REJECT] Contains bad word ""VP"". Skipping this job!
",Skipped,Not Available,LinkedIn,LinkedIn,0
4418487542,https://www.linkedin.com/jobs/view/4418487542,Pending,2026-05-23 14:38:12,2026-05-23 17:38:17,Problem in Easy Applying,"Message: Easy Apply modal was not available; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
",Easy Applied,Not Available,LinkedIn,LinkedIn,90
